NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR;STATUS_FXI3S;STATUS_DXI3S
69008001;ANCY_SAPC;45.843333;4.508167;626;20260303;0.0;1;4.7;1;507;9;15.2;1;1434;9;9.3;1;10.0;1;10.5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260304;0.0;1;5.9;1;543;9;15.5;1;1231;9;10.5;1;10.7;1;9.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260305;0.0;1;6.0;1;546;9;15.9;1;1336;9;11.0;1;11.0;1;9.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260306;0.0;1;9.1;1;643;9;16.1;1;1325;9;12.6;1;12.6;1;7.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260307;0.0;1;9.2;1;617;9;16.9;1;1259;9;12.3;1;13.1;1;7.7;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260308;0.0;1;7.6;1;631;9;18.0;1;1343;9;12.0;1;12.8;1;10.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260309;7.8;1;6.9;1;448;9;16.3;1;1427;9;10.8;1;11.6;1;9.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260310;0.8;1;6.7;1;546;9;12.7;1;1137;9;8.9;1;9.7;1;6.0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260311;9.0;1;7.8;1;1821;9;12.5;1;1125;9;8.4;1;10.2;1;4.7;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260312;0.0;1;3.1;1;550;9;11.9;1;1413;9;7.0;1;7.5;1;8.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260313;10.4;1;4.1;1;239;9;17.7;1;1359;9;10.5;1;10.9;1;13.6;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260314;0.6;1;0.8;1;1030;9;4.5;1;1516;9;2.8;1;2.7;1;3.7;1;;;;;24;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260315;0.0;1;0.0;1;2054;9;7.7;1;1424;9;3.3;1;3.9;1;7.7;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260316;0.0;1;1.4;1;34;9;8.8;1;1341;9;5.1;1;5.1;1;7.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260317;0.0;1;3.4;1;132;9;13.3;1;1439;9;8.4;1;8.4;1;9.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260318;0.0;1;3.2;1;559;9;12.7;1;1519;9;7.7;1;8.0;1;9.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260319;0.0;1;2.8;1;437;9;14.3;1;1354;9;8.8;1;8.6;1;11.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260320;0.0;1;4.0;1;617;9;14.9;1;1407;9;9.2;1;9.5;1;10.9;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260321;0.0;1;5.8;1;421;9;14.6;1;1410;9;10.2;1;10.2;1;8.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260322;0.0;1;5.6;1;1759;9;11.4;1;1326;9;6.7;1;8.5;1;5.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260323;0.0;1;1.5;1;208;9;12.3;1;1459;9;7.0;1;6.9;1;10.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260324;0.0;1;5.9;1;2107;9;15.6;1;1553;9;10.5;1;10.8;1;9.7;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260325;1.0;1;3.0;1;1759;9;12.7;1;955;9;6.6;1;7.9;1;9.7;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260326;0.6;1;-0.5;1;636;9;5.3;1;1516;9;1.4;1;2.4;1;5.8;1;;;;;309;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69008001;ANCY_SAPC;45.843333;4.508167;626;20260327;0.0;1;-1.6;1;623;9;6.3;1;1403;9;1.6;1;2.4;1;7.9;1;;;;;519;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
