commune_id;code_insee;commune_nom;groupe_commune;departement;pays;sources;region_libelle;departement_libelle;arrondissement_libelle;commune_libelle_insee;latitude;longitude;localisation_azure
INSEE_07078;07078;Davézieux;Communauté d'agglomération Annonay Rhône Agglo;07;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Ardèche;Tournon-sur-Rhône;Davézieux;45.253344979714036;4.69893672164258;DAVEZIEUX, France
INSEE_24322;24322;Périgueux;Communauté d'agglomération Le Grand Périgueux;24;France;rpc_depart;Nouvelle-Aquitaine;Dordogne;Périgueux;Périgueux;45.19386243643885;0.7104834463705425;PERIGUEUX, France
INSEE_26002;26002;Albon;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee;Auvergne-Rhône-Alpes;Drôme;Valence;Albon;45.23937072450599;4.865439823437233;ALBON, France
INSEE_26004;26004;Alixan;CA Valence Romans Agglo;26;France;rpc_arrivee;Auvergne-Rhône-Alpes;Drôme;Valence;Alixan;44.984321172481714;5.01674004657021;ALIXAN, France
INSEE_26009;26009;Andancette;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Drôme;Valence;Andancette;45.247540443489726;4.812665581161639;ANDANCETTE, France
INSEE_26010;26010;Anneyron;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Drôme;Valence;Anneyron;45.27178172675811;4.889193905460484;ANNEYRON, France
INSEE_26041;26041;Beausemblant;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Drôme;Valence;Beausemblant;45.21383664598295;4.843815429611351;BEAUSEMBLANT, France
INSEE_26058;26058;Bourg-lès-Valence;Communauté d'agglomération Valence Romans Agglo;26;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Drôme;Valence;Bourg-lès-Valence;44.96365025106323;4.8899921383538985;BOURG LES VALENCE, France
INSEE_26072;26072;Chantemerle-les-Blés;Communauté d'agglomération Arche Agglo;26;France;rpc_depart;Auvergne-Rhône-Alpes;Drôme;Valence;Chantemerle-les-Blés;45.122213262551284;4.889724466513101;CHANTEMERLE LES BLES, France
INSEE_26083;26083;Châteauneuf-de-Galaure;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Drôme;Valence;Châteauneuf-de-Galaure;45.23371119854644;4.963754962838793;CHATEAUNEUF DE GALAURE, France
INSEE_26118;26118;Épinouze;CC Porte de DrômArdèche;26;France;rpc_arrivee;Auvergne-Rhône-Alpes;Drôme;Valence;Épinouze;45.312250766787;4.938043347411242;EPINOUZE, France
INSEE_26247;26247;Ponsas;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee;Auvergne-Rhône-Alpes;Drôme;Valence;Ponsas;45.154579838143015;4.842296172202246;PONSAS, France
INSEE_26313;26313;Saint-Marcel-lès-Valence;Communauté d'agglomération Valence Romans Agglo;26;France;rpc_depart;Auvergne-Rhône-Alpes;Drôme;Valence;Saint-Marcel-lès-Valence;44.97238280573799;4.9505895276112355;ST MARCEL LES VALENCE, France
INSEE_26325;26325;Saint-Rambert-d'Albon;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Drôme;Valence;Saint-Rambert-d'Albon;45.28826755726601;4.829926706116574;ST RAMBERT D ALBON, France
INSEE_26330;26330;Saint-Sorlin-en-Valloire;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Drôme;Valence;Saint-Sorlin-en-Valloire;45.280649337933156;4.962861183236263;ST SORLIN EN VALLOIRE, France
INSEE_26333;26333;Saint-Vallier;Communauté de communes Porte de DrômArdèche;26;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Drôme;Valence;Saint-Vallier;45.179437654918374;4.820110992116266;ST VALLIER, France
INSEE_26341;26341;Serves-sur-Rhône;Communauté d'agglomération Arche Agglo;26;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Drôme;Valence;Serves-sur-Rhône;45.14333984860407;4.83002046075613;SERVES SUR RHONE, France
INSEE_26362;26362;Valence;Communauté d'agglomération Valence Romans Agglo;26;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Drôme;Valence;Valence;44.923418303432804;4.916385118892043;VALENCE, France
INSEE_38012;38012;Aoste;Communauté de communes Les Vals du Dauphiné;38;France;rpc_depart;Auvergne-Rhône-Alpes;Isère;Tour-du-Pin;Aoste;45.60150523297381;5.610984498979651;AOSTE, France
INSEE_38017;38017;Assieu;Communauté de communes Entre Bièvre et Rhône;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Vienne;Assieu;45.41015778879701;4.880037093786893;ASSIEU, France
INSEE_38019;38019;Auberives-sur-Varèze;Communauté de communes Entre Bièvre et Rhône;38;France;rpc_depart;Auvergne-Rhône-Alpes;Isère;Vienne;Auberives-sur-Varèze;45.42595448287706;4.816221588031697;AUBERIVES SUR VAREZE, France
INSEE_38022;38022;Les Avenières Veyrins-Thuellin;Communauté de communes Les Balcons du Dauphiné;38;France;rpc_arrivee, rpc_depart;Auvergne-Rhône-Alpes;Isère;Tour-du-Pin;Avenières Veyrins-Thuellin;45.64128018339704;5.556694089941099;LES AVENIERES VEYRINS THUELLIN, France
