station_taxi_id;commune_id;fid;gid;nom;adresse;commune;code_insee;nb_emplacements;telephone_flag;separateur_taxi;abri_flag;panneau_flag;diodes_flag;totem_flag;observation;validite;longitude;latitude;geometrie_wkt
TAXI_962;INSEE_69386;pvo_patrimoine_voirie.pvostationtaxi.962;962;TAX602;39, Cours Vitton;Lyon 6e Arrondissement;69386;4;0;Peinture;0;1;0;0;Station Vitton/Masséna;Validé;4,853855947520987;45,769657158944135;POINT (4.853855947520987 45.769657158944135)
TAXI_4047;INSEE_69282;pvo_patrimoine_voirie.pvostationtaxi.4047;4047;TAXMEY01;27, Rue Louis Saulnier;Meyzieu;69282;3;0;Peinture;0;1;0;0;Arrêté n°19-R1026 le 18/06/19;Validé;5,003132738336214;45,765046833500286;POINT (5.003132738336214 45.765046833500286)
TAXI_324;INSEE_69382;pvo_patrimoine_voirie.pvostationtaxi.324;324;TAX203;4, Place Carnot;Lyon 2e Arrondissement;69382;5;0;Peinture;0;1;0;1;Station Place Carnot;Validé;4,828065476949648;45,7516436773838;POINT (4.828065476949648 45.7516436773838)
TAXI_978;INSEE_69388;pvo_patrimoine_voirie.pvostationtaxi.978;978;TAX801;Face 5, Rue Marius Berliet;Lyon 8e Arrondissement;69388;3;0;Bordure granit;0;1;0;1;Station Bachut;Validé;4,86869731182029;45,73696032833496;POINT (4.86869731182029 45.73696032833496)
TAXI_645;INSEE_69385;pvo_patrimoine_voirie.pvostationtaxi.645;645;TAX504;6, Rue de l'Antiquaille;Lyon 5e Arrondissement;69385;3;0;Peinture;0;1;0;0;Station Antiquaille;Validé;4,821230886982242;45,75916772274483;POINT (4.821230886982242 45.75916772274483)
TAXI_4002;INSEE_69383;pvo_patrimoine_voirie.pvostationtaxi.4002;4002;TAX312;Rue Aimé Collomb;Lyon 3e Arrondissement;69383;4;0;Peinture;0;1;0;0;Arrêté N°2011RP27187 du 27/01/2011;Validé;4,842445567546311;45,75674942687856;POINT (4.842445567546311 45.75674942687856)
TAXI_4020;INSEE_69250;pvo_patrimoine_voirie.pvostationtaxi.4020;4020;TAXTOU01;Avenue de l'Hippodrome;La Tour-de-Salvagny;69250;2;0;Peinture;0;0;0;0;;Validé;4,717498569719546;45,81498238285391;POINT (4.717498569719546 45.81498238285391)
TAXI_1310;INSEE_69266;pvo_patrimoine_voirie.pvostationtaxi.1310;1310;TAXVIL02;45, Avenue Galline;Villeurbanne;69266;6;0;Peinture;0;1;0;0;;Validé;4,865239549551931;45,776528354727745;POINT (4.865239549551931 45.776528354727745)
TAXI_1953;INSEE_69266;pvo_patrimoine_voirie.pvostationtaxi.1953;1953;TAXVIL05;4, Avenue Henri Barbusse;Villeurbanne;69266;5;0;Bordure granit;0;1;0;1;;Validé;4,8793404192587975;45,76935485194579;POINT (4.8793404192587975 45.76935485194579)
TAXI_323;INSEE_69382;pvo_patrimoine_voirie.pvostationtaxi.323;323;TAX200;1, Rue de la Barre;Lyon 2e Arrondissement;69382;10;0;Peinture;0;1;1;1;Station Place Le Viste;Validé;4,834471508393264;45,75793040831335;POINT (4.834471508393264 45.75793040831335)
TAXI_327;INSEE_69382;pvo_patrimoine_voirie.pvostationtaxi.327;327;TAX206;Place de la République;Lyon 2e Arrondissement;69382;9;0;Bordure granit;0;1;1;1;Station Place de la République;Validé;4,836272996525903;45,76125599963189;POINT (4.836272996525903 45.76125599963189)
TAXI_2673;INSEE_69389;pvo_patrimoine_voirie.pvostationtaxi.2673;2673;TAX904;Face 8, Rue de la Navigation;Lyon 9e Arrondissement;69389;4;0;Bordure granit;0;1;0;1;Cinéma Pathé Vaise;Validé;4,812555178545817;45,78807034182006;POINT (4.812555178545817 45.78807034182006)
TAXI_357;INSEE_69384;pvo_patrimoine_voirie.pvostationtaxi.357;357;TAX402;12, Rue Gigodot;Lyon 4e Arrondissement;69384;2;0;Peinture;0;1;0;0;Station Dumont d' Urville;Validé;4,835987680618177;45,77841498742618;POINT (4.835987680618177 45.77841498742618)
TAXI_1601;INSEE_69382;pvo_patrimoine_voirie.pvostationtaxi.1601;1601;TAX202;Centre d'Echange (domaine SNCF);Lyon 2e Arrondissement;69382;61;0;Peinture;1;1;0;0;Station Gare Perrache;Validé;4,8261791690914615;45,74894388934346;POINT (4.8261791690914615 45.74894388934346)
TAXI_4007;INSEE_69382;pvo_patrimoine_voirie.pvostationtaxi.4007;4007;TAX210;85, Quai Perrache;Lyon 2e Arrondissement;69382;5;0;;0;0;0;1;Arrêté N°2014RP30427 du 19/12/2014;Validé;4,818035030883507;45,73375206375665;POINT (4.818035030883507 45.73375206375665)
TAXI_642;INSEE_69385;pvo_patrimoine_voirie.pvostationtaxi.642;642;TAX501;21, Quai Romain Rolland;Lyon 5e Arrondissement;69385;4;0;Peinture;0;1;0;0;Station Saint Jean;Validé;4,828835041118538;45,76240415258009;POINT (4.828835041118538 45.76240415258009)
